Question,Count,Sentiment,Sect
The Problem Solving Labs were value added to the course and assisted me in learning the material,44,Strongly Agree,Sectioned by Ability
The Problem Solving Labs were value added to the course and assisted me in learning the material,87,Agree,Sectioned by Ability
The Problem Solving Labs were value added to the course and assisted me in learning the material,27,Neutral,Sectioned by Ability
The Problem Solving Labs were value added to the course and assisted me in learning the material,25,Disagree,Sectioned by Ability
The Problem Solving Labs were value added to the course and assisted me in learning the material,7,Strongly Disagree,Sectioned by Ability
The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,88,Strongly Agree,Randomly Sectioned
The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,92,Agree,Randomly Sectioned
The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,24,Neutral,Randomly Sectioned
The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,8,Disagree,Randomly Sectioned
The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,9,Strongly Disagree,Randomly Sectioned
The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,65,Strongly Agree,Sectioned by Ability
The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,87,Agree,Sectioned by Ability
The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,20,Neutral,Sectioned by Ability
The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,14,Disagree,Sectioned by Ability
The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,4,Strongly Disagree,Sectioned by Ability
This course helped me understand and analyze complicated problems.,42,Strongly Agree,Randomly Sectioned
This course helped me understand and analyze complicated problems.,139,Agree,Randomly Sectioned
This course helped me understand and analyze complicated problems.,30,Neutral,Randomly Sectioned
This course helped me understand and analyze complicated problems.,6,Disagree,Randomly Sectioned
This course helped me understand and analyze complicated problems.,4,Strongly Disagree,Randomly Sectioned
This course helped me understand and analyze complicated problems.,41,Strongly Agree,Sectioned by Ability
This course helped me understand and analyze complicated problems.,106,Agree,Sectioned by Ability
This course helped me understand and analyze complicated problems.,34,Neutral,Sectioned by Ability
This course helped me understand and analyze complicated problems.,8,Disagree,Sectioned by Ability
This course helped me understand and analyze complicated problems.,1,Strongly Disagree,Sectioned by Ability
"Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",48,Strongly Agree,Randomly Sectioned
"Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",88,Agree,Randomly Sectioned
"Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",48,Neutral,Randomly Sectioned
"Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",26,Disagree,Randomly Sectioned
"Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",11,Strongly Disagree,Randomly Sectioned
"Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",39,Strongly Agree,Sectioned by Ability
"Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",66,Agree,Sectioned by Ability
"Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",46,Neutral,Sectioned by Ability
"Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",25,Disagree,Sectioned by Ability
"Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",14,Strongly Disagree,Sectioned by Ability
The pace of the lessons throughout the semester were:,4,Strongly Agree,Randomly Sectioned
The pace of the lessons throughout the semester were:,13,Agree,Randomly Sectioned
The pace of the lessons throughout the semester were:,97,Neutral,Randomly Sectioned
The pace of the lessons throughout the semester were:,94,Disagree,Randomly Sectioned
The pace of the lessons throughout the semester were:,13,Strongly Disagree,Randomly Sectioned
The pace of the lessons throughout the semester were:,2,Strongly Agree,Sectioned by Ability
The pace of the lessons throughout the semester were:,16,Agree,Sectioned by Ability
The pace of the lessons throughout the semester were:,83,Neutral,Sectioned by Ability
The pace of the lessons throughout the semester were:,76,Disagree,Sectioned by Ability
The pace of the lessons throughout the semester were:,13,Strongly Disagree,Sectioned by Ability
My mathematical abilities were aligned with the rest of my section.,24,Strongly Agree,Randomly Sectioned
My mathematical abilities were aligned with the rest of my section.,96,Agree,Randomly Sectioned
My mathematical abilities were aligned with the rest of my section.,50,Neutral,Randomly Sectioned
My mathematical abilities were aligned with the rest of my section.,41,Disagree,Randomly Sectioned
My mathematical abilities were aligned with the rest of my section.,10,Strongly Disagree,Randomly Sectioned
My mathematical abilities were aligned with the rest of my section.,15,Strongly Agree,Sectioned by Ability
My mathematical abilities were aligned with the rest of my section.,99,Agree,Sectioned by Ability
My mathematical abilities were aligned with the rest of my section.,43,Neutral,Sectioned by Ability
My mathematical abilities were aligned with the rest of my section.,32,Disagree,Sectioned by Ability
My mathematical abilities were aligned with the rest of my section.,1,Strongly Disagree,Sectioned by Ability
Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,55,Strongly Agree,Randomly Sectioned
Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,76,Agree,Randomly Sectioned
Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,48,Neutral,Randomly Sectioned
Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,26,Disagree,Randomly Sectioned
Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,16,Strongly Disagree,Randomly Sectioned
Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,45,Strongly Agree,Sectioned by Ability
Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,66,Agree,Sectioned by Ability
Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,38,Neutral,Sectioned by Ability
Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,25,Disagree,Sectioned by Ability
Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,16,Strongly Disagree,Sectioned by Ability
